"LengthColumnNames","SubjectTestTrain_Vector","SubjectTestTrain_Vector_New"
306,"fBodyAcc.bandsEnergy...1.8","FrequencyBodyAccelerometer-bandsEnergy()-1,8"
307,"fBodyAcc.bandsEnergy...9.16","FrequencyBodyAccelerometer-bandsEnergy()-9,16"
308,"fBodyAcc.bandsEnergy...17.24","FrequencyBodyAccelerometer-bandsEnergy()-17,24"
309,"fBodyAcc.bandsEnergy...25.32","FrequencyBodyAccelerometer-bandsEnergy()-25,32"
310,"fBodyAcc.bandsEnergy...33.40","FrequencyBodyAccelerometer-bandsEnergy()-33,40"
311,"fBodyAcc.bandsEnergy...41.48","FrequencyBodyAccelerometer-bandsEnergy()-41,48"
312,"fBodyAcc.bandsEnergy...49.56","FrequencyBodyAccelerometer-bandsEnergy()-49,56"
313,"fBodyAcc.bandsEnergy...57.64","FrequencyBodyAccelerometer-bandsEnergy()-57,64"
314,"fBodyAcc.bandsEnergy...1.16","FrequencyBodyAccelerometer-bandsEnergy()-1,16"
315,"fBodyAcc.bandsEnergy...17.32","FrequencyBodyAccelerometer-bandsEnergy()-17,32"
316,"fBodyAcc.bandsEnergy...33.48","FrequencyBodyAccelerometer-bandsEnergy()-33,48"
317,"fBodyAcc.bandsEnergy...49.64","FrequencyBodyAccelerometer-bandsEnergy()-49,64"
318,"fBodyAcc.bandsEnergy...1.24","FrequencyBodyAccelerometer-bandsEnergy()-1,24"
319,"fBodyAcc.bandsEnergy...25.48","FrequencyBodyAccelerometer-bandsEnergy()-25,48"
320,"fBodyAcc.bandsEnergy...1.8.1","FrequencyBodyAccelerometer-bandsEnergy()-1,8"
321,"fBodyAcc.bandsEnergy...9.16.1","FrequencyBodyAccelerometer-bandsEnergy()-9,16"
322,"fBodyAcc.bandsEnergy...17.24.1","FrequencyBodyAccelerometer-bandsEnergy()-17,24"
323,"fBodyAcc.bandsEnergy...25.32.1","FrequencyBodyAccelerometer-bandsEnergy()-25,32"
324,"fBodyAcc.bandsEnergy...33.40.1","FrequencyBodyAccelerometer-bandsEnergy()-33,40"
325,"fBodyAcc.bandsEnergy...41.48.1","FrequencyBodyAccelerometer-bandsEnergy()-41,48"
326,"fBodyAcc.bandsEnergy...49.56.1","FrequencyBodyAccelerometer-bandsEnergy()-49,56"
327,"fBodyAcc.bandsEnergy...57.64.1","FrequencyBodyAccelerometer-bandsEnergy()-57,64"
328,"fBodyAcc.bandsEnergy...1.16.1","FrequencyBodyAccelerometer-bandsEnergy()-1,16"
329,"fBodyAcc.bandsEnergy...17.32.1","FrequencyBodyAccelerometer-bandsEnergy()-17,32"
330,"fBodyAcc.bandsEnergy...33.48.1","FrequencyBodyAccelerometer-bandsEnergy()-33,48"
331,"fBodyAcc.bandsEnergy...49.64.1","FrequencyBodyAccelerometer-bandsEnergy()-49,64"
332,"fBodyAcc.bandsEnergy...1.24.1","FrequencyBodyAccelerometer-bandsEnergy()-1,24"
333,"fBodyAcc.bandsEnergy...25.48.1","FrequencyBodyAccelerometer-bandsEnergy()-25,48"
334,"fBodyAcc.bandsEnergy...1.8.2","FrequencyBodyAccelerometer-bandsEnergy()-1,8"
335,"fBodyAcc.bandsEnergy...9.16.2","FrequencyBodyAccelerometer-bandsEnergy()-9,16"
336,"fBodyAcc.bandsEnergy...17.24.2","FrequencyBodyAccelerometer-bandsEnergy()-17,24"
337,"fBodyAcc.bandsEnergy...25.32.2","FrequencyBodyAccelerometer-bandsEnergy()-25,32"
338,"fBodyAcc.bandsEnergy...33.40.2","FrequencyBodyAccelerometer-bandsEnergy()-33,40"
339,"fBodyAcc.bandsEnergy...41.48.2","FrequencyBodyAccelerometer-bandsEnergy()-41,48"
340,"fBodyAcc.bandsEnergy...49.56.2","FrequencyBodyAccelerometer-bandsEnergy()-49,56"
341,"fBodyAcc.bandsEnergy...57.64.2","FrequencyBodyAccelerometer-bandsEnergy()-57,64"
342,"fBodyAcc.bandsEnergy...1.16.2","FrequencyBodyAccelerometer-bandsEnergy()-1,16"
343,"fBodyAcc.bandsEnergy...17.32.2","FrequencyBodyAccelerometer-bandsEnergy()-17,32"
344,"fBodyAcc.bandsEnergy...33.48.2","FrequencyBodyAccelerometer-bandsEnergy()-33,48"
345,"fBodyAcc.bandsEnergy...49.64.2","FrequencyBodyAccelerometer-bandsEnergy()-49,64"
346,"fBodyAcc.bandsEnergy...1.24.2","FrequencyBodyAccelerometer-bandsEnergy()-1,24"
347,"fBodyAcc.bandsEnergy...25.48.2","FrequencyBodyAccelerometer-bandsEnergy()-25,48"
348,"fBodyAccJerk.mean...X","FrequencyBodyAccelerometerJerkMean()-X"
349,"fBodyAccJerk.mean...Y","FrequencyBodyAccelerometerJerkMean()-Y"
350,"fBodyAccJerk.mean...Z","FrequencyBodyAccelerometerJerkMean()-Z"
351,"fBodyAccJerk.std...X","FrequencyBodyAccelerometerJerkStd()-X"
352,"fBodyAccJerk.std...Y","FrequencyBodyAccelerometerJerkStd()-Y"
353,"fBodyAccJerk.std...Z","FrequencyBodyAccelerometerJerkStd()-Z"
354,"fBodyAccJerk.mad...X","FrequencyBodyAccelerometerJerk-Median_Absolute_Deviation()-X"
355,"fBodyAccJerk.mad...Y","FrequencyBodyAccelerometerJerk-Median_Absolute_Deviation()-Y"
356,"fBodyAccJerk.mad...Z","FrequencyBodyAccelerometerJerk-Median_Absolute_Deviation()-Z"
357,"fBodyAccJerk.max...X","FrequencyBodyAccelerometerJerk-max()-X"
358,"fBodyAccJerk.max...Y","FrequencyBodyAccelerometerJerk-max()-Y"
359,"fBodyAccJerk.max...Z","FrequencyBodyAccelerometerJerk-max()-Z"
360,"fBodyAccJerk.min...X","FrequencyBodyAccelerometerJerk-min()-X"
361,"fBodyAccJerk.min...Y","FrequencyBodyAccelerometerJerk-min()-Y"
362,"fBodyAccJerk.min...Z","FrequencyBodyAccelerometerJerk-min()-Z"
363,"fBodyAccJerk.sma..","FrequencyBodyAccelerometerJerk-SignalMagnitudeArea()"
364,"fBodyAccJerk.energy...X","FrequencyBodyAccelerometerJerk-energy()-X"
365,"fBodyAccJerk.energy...Y","FrequencyBodyAccelerometerJerk-energy()-Y"
366,"fBodyAccJerk.energy...Z","FrequencyBodyAccelerometerJerk-energy()-Z"
367,"fBodyAccJerk.iqr...X","FrequencyBodyAccelerometerJerk-InterquartileRange()-X"
368,"fBodyAccJerk.iqr...Y","FrequencyBodyAccelerometerJerk-InterquartileRange()-Y"
369,"fBodyAccJerk.iqr...Z","FrequencyBodyAccelerometerJerk-InterquartileRange()-Z"
370,"fBodyAccJerk.entropy...X","FrequencyBodyAccelerometerJerk-entropy()-X"
371,"fBodyAccJerk.entropy...Y","FrequencyBodyAccelerometerJerk-entropy()-Y"
372,"fBodyAccJerk.entropy...Z","FrequencyBodyAccelerometerJerk-entropy()-Z"
373,"fBodyAccJerk.maxInds.X","FrequencyBodyAccelerometerJerk-MaximumFrequencyMagnitudeIndex-X"
374,"fBodyAccJerk.maxInds.Y","FrequencyBodyAccelerometerJerk-MaximumFrequencyMagnitudeIndex-Y"
375,"fBodyAccJerk.maxInds.Z","FrequencyBodyAccelerometerJerk-MaximumFrequencyMagnitudeIndex-Z"
376,"fBodyAccJerk.meanFreq...X","FrequencyBodyAccelerometerJerkMeanFrequency()-X"
377,"fBodyAccJerk.meanFreq...Y","FrequencyBodyAccelerometerJerkMeanFrequency()-Y"
378,"fBodyAccJerk.meanFreq...Z","FrequencyBodyAccelerometerJerkMeanFrequency()-Z"
379,"fBodyAccJerk.skewness...X","FrequencyBodyAccelerometerJerk-skewness()-X"
380,"fBodyAccJerk.kurtosis...X","FrequencyBodyAccelerometerJerk-kurtosis()-X"
381,"fBodyAccJerk.skewness...Y","FrequencyBodyAccelerometerJerk-skewness()-Y"
382,"fBodyAccJerk.kurtosis...Y","FrequencyBodyAccelerometerJerk-kurtosis()-Y"
383,"fBodyAccJerk.skewness...Z","FrequencyBodyAccelerometerJerk-skewness()-Z"
384,"fBodyAccJerk.kurtosis...Z","FrequencyBodyAccelerometerJerk-kurtosis()-Z"
385,"fBodyAccJerk.bandsEnergy...1.8","FrequencyBodyAccelerometerJerk-bandsEnergy()-1,8"
386,"fBodyAccJerk.bandsEnergy...9.16","FrequencyBodyAccelerometerJerk-bandsEnergy()-9,16"
387,"fBodyAccJerk.bandsEnergy...17.24","FrequencyBodyAccelerometerJerk-bandsEnergy()-17,24"
388,"fBodyAccJerk.bandsEnergy...25.32","FrequencyBodyAccelerometerJerk-bandsEnergy()-25,32"
389,"fBodyAccJerk.bandsEnergy...33.40","FrequencyBodyAccelerometerJerk-bandsEnergy()-33,40"
390,"fBodyAccJerk.bandsEnergy...41.48","FrequencyBodyAccelerometerJerk-bandsEnergy()-41,48"
391,"fBodyAccJerk.bandsEnergy...49.56","FrequencyBodyAccelerometerJerk-bandsEnergy()-49,56"
392,"fBodyAccJerk.bandsEnergy...57.64","FrequencyBodyAccelerometerJerk-bandsEnergy()-57,64"
393,"fBodyAccJerk.bandsEnergy...1.16","FrequencyBodyAccelerometerJerk-bandsEnergy()-1,16"
394,"fBodyAccJerk.bandsEnergy...17.32","FrequencyBodyAccelerometerJerk-bandsEnergy()-17,32"
395,"fBodyAccJerk.bandsEnergy...33.48","FrequencyBodyAccelerometerJerk-bandsEnergy()-33,48"
396,"fBodyAccJerk.bandsEnergy...49.64","FrequencyBodyAccelerometerJerk-bandsEnergy()-49,64"
397,"fBodyAccJerk.bandsEnergy...1.24","FrequencyBodyAccelerometerJerk-bandsEnergy()-1,24"
398,"fBodyAccJerk.bandsEnergy...25.48","FrequencyBodyAccelerometerJerk-bandsEnergy()-25,48"
399,"fBodyAccJerk.bandsEnergy...1.8.1","FrequencyBodyAccelerometerJerk-bandsEnergy()-1,8"
400,"fBodyAccJerk.bandsEnergy...9.16.1","FrequencyBodyAccelerometerJerk-bandsEnergy()-9,16"
401,"fBodyAccJerk.bandsEnergy...17.24.1","FrequencyBodyAccelerometerJerk-bandsEnergy()-17,24"
402,"fBodyAccJerk.bandsEnergy...25.32.1","FrequencyBodyAccelerometerJerk-bandsEnergy()-25,32"
403,"fBodyAccJerk.bandsEnergy...33.40.1","FrequencyBodyAccelerometerJerk-bandsEnergy()-33,40"
404,"fBodyAccJerk.bandsEnergy...41.48.1","FrequencyBodyAccelerometerJerk-bandsEnergy()-41,48"
405,"fBodyAccJerk.bandsEnergy...49.56.1","FrequencyBodyAccelerometerJerk-bandsEnergy()-49,56"
406,"fBodyAccJerk.bandsEnergy...57.64.1","FrequencyBodyAccelerometerJerk-bandsEnergy()-57,64"
407,"fBodyAccJerk.bandsEnergy...1.16.1","FrequencyBodyAccelerometerJerk-bandsEnergy()-1,16"
408,"fBodyAccJerk.bandsEnergy...17.32.1","FrequencyBodyAccelerometerJerk-bandsEnergy()-17,32"
409,"fBodyAccJerk.bandsEnergy...33.48.1","FrequencyBodyAccelerometerJerk-bandsEnergy()-33,48"
410,"fBodyAccJerk.bandsEnergy...49.64.1","FrequencyBodyAccelerometerJerk-bandsEnergy()-49,64"
411,"fBodyAccJerk.bandsEnergy...1.24.1","FrequencyBodyAccelerometerJerk-bandsEnergy()-1,24"
412,"fBodyAccJerk.bandsEnergy...25.48.1","FrequencyBodyAccelerometerJerk-bandsEnergy()-25,48"
413,"fBodyAccJerk.bandsEnergy...1.8.2","FrequencyBodyAccelerometerJerk-bandsEnergy()-1,8"
414,"fBodyAccJerk.bandsEnergy...9.16.2","FrequencyBodyAccelerometerJerk-bandsEnergy()-9,16"
415,"fBodyAccJerk.bandsEnergy...17.24.2","FrequencyBodyAccelerometerJerk-bandsEnergy()-17,24"
416,"fBodyAccJerk.bandsEnergy...25.32.2","FrequencyBodyAccelerometerJerk-bandsEnergy()-25,32"
417,"fBodyAccJerk.bandsEnergy...33.40.2","FrequencyBodyAccelerometerJerk-bandsEnergy()-33,40"
418,"fBodyAccJerk.bandsEnergy...41.48.2","FrequencyBodyAccelerometerJerk-bandsEnergy()-41,48"
419,"fBodyAccJerk.bandsEnergy...49.56.2","FrequencyBodyAccelerometerJerk-bandsEnergy()-49,56"
420,"fBodyAccJerk.bandsEnergy...57.64.2","FrequencyBodyAccelerometerJerk-bandsEnergy()-57,64"
421,"fBodyAccJerk.bandsEnergy...1.16.2","FrequencyBodyAccelerometerJerk-bandsEnergy()-1,16"
422,"fBodyAccJerk.bandsEnergy...17.32.2","FrequencyBodyAccelerometerJerk-bandsEnergy()-17,32"
423,"fBodyAccJerk.bandsEnergy...33.48.2","FrequencyBodyAccelerometerJerk-bandsEnergy()-33,48"
424,"fBodyAccJerk.bandsEnergy...49.64.2","FrequencyBodyAccelerometerJerk-bandsEnergy()-49,64"
425,"fBodyAccJerk.bandsEnergy...1.24.2","FrequencyBodyAccelerometerJerk-bandsEnergy()-1,24"
426,"fBodyAccJerk.bandsEnergy...25.48.2","FrequencyBodyAccelerometerJerk-bandsEnergy()-25,48"
427,"fBodyGyro.mean...X","FrequencyBodyGyroscopeMean()-X"
428,"fBodyGyro.mean...Y","FrequencyBodyGyroscopeMean()-Y"
429,"fBodyGyro.mean...Z","FrequencyBodyGyroscopeMean()-Z"
430,"fBodyGyro.std...X","FrequencyBodyGyroscopeStd()-X"
431,"fBodyGyro.std...Y","FrequencyBodyGyroscopeStd()-Y"
432,"fBodyGyro.std...Z","FrequencyBodyGyroscopeStd()-Z"
433,"fBodyGyro.mad...X","FrequencyBodyGyroscope-Median_Absolute_Deviation()-X"
434,"fBodyGyro.mad...Y","FrequencyBodyGyroscope-Median_Absolute_Deviation()-Y"
435,"fBodyGyro.mad...Z","FrequencyBodyGyroscope-Median_Absolute_Deviation()-Z"
436,"fBodyGyro.max...X","FrequencyBodyGyroscope-max()-X"
437,"fBodyGyro.max...Y","FrequencyBodyGyroscope-max()-Y"
438,"fBodyGyro.max...Z","FrequencyBodyGyroscope-max()-Z"
439,"fBodyGyro.min...X","FrequencyBodyGyroscope-min()-X"
440,"fBodyGyro.min...Y","FrequencyBodyGyroscope-min()-Y"
441,"fBodyGyro.min...Z","FrequencyBodyGyroscope-min()-Z"
442,"fBodyGyro.sma..","FrequencyBodyGyroscope-SignalMagnitudeArea()"
443,"fBodyGyro.energy...X","FrequencyBodyGyroscope-energy()-X"
444,"fBodyGyro.energy...Y","FrequencyBodyGyroscope-energy()-Y"
445,"fBodyGyro.energy...Z","FrequencyBodyGyroscope-energy()-Z"
446,"fBodyGyro.iqr...X","FrequencyBodyGyroscope-InterquartileRange()-X"
447,"fBodyGyro.iqr...Y","FrequencyBodyGyroscope-InterquartileRange()-Y"
448,"fBodyGyro.iqr...Z","FrequencyBodyGyroscope-InterquartileRange()-Z"
449,"fBodyGyro.entropy...X","FrequencyBodyGyroscope-entropy()-X"
450,"fBodyGyro.entropy...Y","FrequencyBodyGyroscope-entropy()-Y"
451,"fBodyGyro.entropy...Z","FrequencyBodyGyroscope-entropy()-Z"
452,"fBodyGyro.maxInds.X","FrequencyBodyGyroscope-MaximumFrequencyMagnitudeIndex-X"
453,"fBodyGyro.maxInds.Y","FrequencyBodyGyroscope-MaximumFrequencyMagnitudeIndex-Y"
454,"fBodyGyro.maxInds.Z","FrequencyBodyGyroscope-MaximumFrequencyMagnitudeIndex-Z"
455,"fBodyGyro.meanFreq...X","FrequencyBodyGyroscopeMeanFrequency()-X"
456,"fBodyGyro.meanFreq...Y","FrequencyBodyGyroscopeMeanFrequency()-Y"
457,"fBodyGyro.meanFreq...Z","FrequencyBodyGyroscopeMeanFrequency()-Z"
458,"fBodyGyro.skewness...X","FrequencyBodyGyroscope-skewness()-X"
459,"fBodyGyro.kurtosis...X","FrequencyBodyGyroscope-kurtosis()-X"
460,"fBodyGyro.skewness...Y","FrequencyBodyGyroscope-skewness()-Y"
461,"fBodyGyro.kurtosis...Y","FrequencyBodyGyroscope-kurtosis()-Y"
462,"fBodyGyro.skewness...Z","FrequencyBodyGyroscope-skewness()-Z"
463,"fBodyGyro.kurtosis...Z","FrequencyBodyGyroscope-kurtosis()-Z"
464,"fBodyGyro.bandsEnergy...1.8","FrequencyBodyGyroscope-bandsEnergy()-1,8"
465,"fBodyGyro.bandsEnergy...9.16","FrequencyBodyGyroscope-bandsEnergy()-9,16"
466,"fBodyGyro.bandsEnergy...17.24","FrequencyBodyGyroscope-bandsEnergy()-17,24"
467,"fBodyGyro.bandsEnergy...25.32","FrequencyBodyGyroscope-bandsEnergy()-25,32"
468,"fBodyGyro.bandsEnergy...33.40","FrequencyBodyGyroscope-bandsEnergy()-33,40"
469,"fBodyGyro.bandsEnergy...41.48","FrequencyBodyGyroscope-bandsEnergy()-41,48"
470,"fBodyGyro.bandsEnergy...49.56","FrequencyBodyGyroscope-bandsEnergy()-49,56"
471,"fBodyGyro.bandsEnergy...57.64","FrequencyBodyGyroscope-bandsEnergy()-57,64"
472,"fBodyGyro.bandsEnergy...1.16","FrequencyBodyGyroscope-bandsEnergy()-1,16"
473,"fBodyGyro.bandsEnergy...17.32","FrequencyBodyGyroscope-bandsEnergy()-17,32"
474,"fBodyGyro.bandsEnergy...33.48","FrequencyBodyGyroscope-bandsEnergy()-33,48"
475,"fBodyGyro.bandsEnergy...49.64","FrequencyBodyGyroscope-bandsEnergy()-49,64"
476,"fBodyGyro.bandsEnergy...1.24","FrequencyBodyGyroscope-bandsEnergy()-1,24"
477,"fBodyGyro.bandsEnergy...25.48","FrequencyBodyGyroscope-bandsEnergy()-25,48"
478,"fBodyGyro.bandsEnergy...1.8.1","FrequencyBodyGyroscope-bandsEnergy()-1,8"
479,"fBodyGyro.bandsEnergy...9.16.1","FrequencyBodyGyroscope-bandsEnergy()-9,16"
480,"fBodyGyro.bandsEnergy...17.24.1","FrequencyBodyGyroscope-bandsEnergy()-17,24"
481,"fBodyGyro.bandsEnergy...25.32.1","FrequencyBodyGyroscope-bandsEnergy()-25,32"
482,"fBodyGyro.bandsEnergy...33.40.1","FrequencyBodyGyroscope-bandsEnergy()-33,40"
483,"fBodyGyro.bandsEnergy...41.48.1","FrequencyBodyGyroscope-bandsEnergy()-41,48"
484,"fBodyGyro.bandsEnergy...49.56.1","FrequencyBodyGyroscope-bandsEnergy()-49,56"
485,"fBodyGyro.bandsEnergy...57.64.1","FrequencyBodyGyroscope-bandsEnergy()-57,64"
486,"fBodyGyro.bandsEnergy...1.16.1","FrequencyBodyGyroscope-bandsEnergy()-1,16"
487,"fBodyGyro.bandsEnergy...17.32.1","FrequencyBodyGyroscope-bandsEnergy()-17,32"
488,"fBodyGyro.bandsEnergy...33.48.1","FrequencyBodyGyroscope-bandsEnergy()-33,48"
489,"fBodyGyro.bandsEnergy...49.64.1","FrequencyBodyGyroscope-bandsEnergy()-49,64"
490,"fBodyGyro.bandsEnergy...1.24.1","FrequencyBodyGyroscope-bandsEnergy()-1,24"
491,"fBodyGyro.bandsEnergy...25.48.1","FrequencyBodyGyroscope-bandsEnergy()-25,48"
492,"fBodyGyro.bandsEnergy...1.8.2","FrequencyBodyGyroscope-bandsEnergy()-1,8"
493,"fBodyGyro.bandsEnergy...9.16.2","FrequencyBodyGyroscope-bandsEnergy()-9,16"
494,"fBodyGyro.bandsEnergy...17.24.2","FrequencyBodyGyroscope-bandsEnergy()-17,24"
495,"fBodyGyro.bandsEnergy...25.32.2","FrequencyBodyGyroscope-bandsEnergy()-25,32"
496,"fBodyGyro.bandsEnergy...33.40.2","FrequencyBodyGyroscope-bandsEnergy()-33,40"
497,"fBodyGyro.bandsEnergy...41.48.2","FrequencyBodyGyroscope-bandsEnergy()-41,48"
498,"fBodyGyro.bandsEnergy...49.56.2","FrequencyBodyGyroscope-bandsEnergy()-49,56"
499,"fBodyGyro.bandsEnergy...57.64.2","FrequencyBodyGyroscope-bandsEnergy()-57,64"
500,"fBodyGyro.bandsEnergy...1.16.2","FrequencyBodyGyroscope-bandsEnergy()-1,16"
501,"fBodyGyro.bandsEnergy...17.32.2","FrequencyBodyGyroscope-bandsEnergy()-17,32"
502,"fBodyGyro.bandsEnergy...33.48.2","FrequencyBodyGyroscope-bandsEnergy()-33,48"
503,"fBodyGyro.bandsEnergy...49.64.2","FrequencyBodyGyroscope-bandsEnergy()-49,64"
504,"fBodyGyro.bandsEnergy...1.24.2","FrequencyBodyGyroscope-bandsEnergy()-1,24"
505,"fBodyGyro.bandsEnergy...25.48.2","FrequencyBodyGyroscope-bandsEnergy()-25,48"
506,"fBodyAccMag.mean..","FrequencyBodyAccelerometerMagnitudeMean()"
507,"fBodyAccMag.std..","FrequencyBodyAccelerometerMagnitudeStd()"
508,"fBodyAccMag.mad..","FrequencyBodyAccelerometerMagnitude-Median_Absolute_Deviation()"
509,"fBodyAccMag.max..","FrequencyBodyAccelerometerMagnitude-max()"
510,"fBodyAccMag.min..","FrequencyBodyAccelerometerMagnitude-min()"
511,"fBodyAccMag.sma..","FrequencyBodyAccelerometerMagnitude-SignalMagnitudeArea()"
512,"fBodyAccMag.energy..","FrequencyBodyAccelerometerMagnitude-energy()"
513,"fBodyAccMag.iqr..","FrequencyBodyAccelerometerMagnitude-InterquartileRange()"
514,"fBodyAccMag.entropy..","FrequencyBodyAccelerometerMagnitude-entropy()"
515,"fBodyAccMag.maxInds","FrequencyBodyAccelerometerMagnitude-MaximumFrequencyMagnitudeIndex"
516,"fBodyAccMag.meanFreq..","FrequencyBodyAccelerometerMagnitudeMeanFrequency()"
517,"fBodyAccMag.skewness..","FrequencyBodyAccelerometerMagnitude-skewness()"
518,"fBodyAccMag.kurtosis..","FrequencyBodyAccelerometerMagnitude-kurtosis()"
519,"fBodyBodyAccJerkMag.mean..","FrequencyBodyAccelerometerJerkMagnitudeMean()"
520,"fBodyBodyAccJerkMag.std..","FrequencyBodyAccelerometerJerkMagnitudeStd()"
521,"fBodyBodyAccJerkMag.mad..","FrequencyBodyAccelerometerJerkMagnitude-Median_Absolute_Deviation()"
522,"fBodyBodyAccJerkMag.max..","FrequencyBodyAccelerometerJerkMagnitude-max()"
523,"fBodyBodyAccJerkMag.min..","FrequencyBodyAccelerometerJerkMagnitude-min()"
524,"fBodyBodyAccJerkMag.sma..","FrequencyBodyAccelerometerJerkMagnitude-SignalMagnitudeArea()"
525,"fBodyBodyAccJerkMag.energy..","FrequencyBodyAccelerometerJerkMagnitude-energy()"
526,"fBodyBodyAccJerkMag.iqr..","FrequencyBodyAccelerometerJerkMagnitude-InterquartileRange()"
527,"fBodyBodyAccJerkMag.entropy..","FrequencyBodyAccelerometerJerkMagnitude-entropy()"
528,"fBodyBodyAccJerkMag.maxInds","FrequencyBodyAccelerometerJerkMagnitude-MaximumFrequencyMagnitudeIndex"
529,"fBodyBodyAccJerkMag.meanFreq..","FrequencyBodyAccelerometerJerkMagnitudeMeanFrequency()"
530,"fBodyBodyAccJerkMag.skewness..","FrequencyBodyAccelerometerJerkMagnitude-skewness()"
531,"fBodyBodyAccJerkMag.kurtosis..","FrequencyBodyAccelerometerJerkMagnitude-kurtosis()"
532,"fBodyBodyGyroMag.mean..","FrequencyBodyGyroscopeMagnitudeMean()"
533,"fBodyBodyGyroMag.std..","FrequencyBodyGyroscopeMagnitudeStd()"
534,"fBodyBodyGyroMag.mad..","FrequencyBodyGyroscopeMagnitude-Median_Absolute_Deviation()"
535,"fBodyBodyGyroMag.max..","FrequencyBodyGyroscopeMagnitude-max()"
536,"fBodyBodyGyroMag.min..","FrequencyBodyGyroscopeMagnitude-min()"
537,"fBodyBodyGyroMag.sma..","FrequencyBodyGyroscopeMagnitude-SignalMagnitudeArea()"
538,"fBodyBodyGyroMag.energy..","FrequencyBodyGyroscopeMagnitude-energy()"
539,"fBodyBodyGyroMag.iqr..","FrequencyBodyGyroscopeMagnitude-InterquartileRange()"
540,"fBodyBodyGyroMag.entropy..","FrequencyBodyGyroscopeMagnitude-entropy()"
541,"fBodyBodyGyroMag.maxInds","FrequencyBodyGyroscopeMagnitude-MaximumFrequencyMagnitudeIndex"
542,"fBodyBodyGyroMag.meanFreq..","FrequencyBodyGyroscopeMagnitudeMeanFrequency()"
543,"fBodyBodyGyroMag.skewness..","FrequencyBodyGyroscopeMagnitude-skewness()"
544,"fBodyBodyGyroMag.kurtosis..","FrequencyBodyGyroscopeMagnitude-kurtosis()"
545,"fBodyBodyGyroJerkMag.mean..","FrequencyBodyGyroscopeJerkMagnitudeMean()"
546,"fBodyBodyGyroJerkMag.std..","FrequencyBodyGyroscopeJerkMagnitudeStd()"
547,"fBodyBodyGyroJerkMag.mad..","FrequencyBodyGyroscopeJerkMagnitude-Median_Absolute_Deviation()"
548,"fBodyBodyGyroJerkMag.max..","FrequencyBodyGyroscopeJerkMagnitude-max()"
549,"fBodyBodyGyroJerkMag.min..","FrequencyBodyGyroscopeJerkMagnitude-min()"
550,"fBodyBodyGyroJerkMag.sma..","FrequencyBodyGyroscopeJerkMagnitude-SignalMagnitudeArea()"
551,"fBodyBodyGyroJerkMag.energy..","FrequencyBodyGyroscopeJerkMagnitude-energy()"
552,"fBodyBodyGyroJerkMag.iqr..","FrequencyBodyGyroscopeJerkMagnitude-InterquartileRange()"
553,"fBodyBodyGyroJerkMag.entropy..","FrequencyBodyGyroscopeJerkMagnitude-entropy()"
554,"fBodyBodyGyroJerkMag.maxInds","FrequencyBodyGyroscopeJerkMagnitude-MaximumFrequencyMagnitudeIndex"
555,"fBodyBodyGyroJerkMag.meanFreq..","FrequencyBodyGyroscopeJerkMagnitudeMeanFrequency()"
556,"fBodyBodyGyroJerkMag.skewness..","FrequencyBodyGyroscopeJerkMagnitude-skewness()"
557,"fBodyBodyGyroJerkMag.kurtosis..","FrequencyBodyGyroscopeJerkMagnitude-kurtosis()"
558,"angle.tBodyAccMean.gravity.","Angle(TimeBodyAccelerometerMean,GravityMean)"
559,"angle.tBodyAccJerkMean..gravityMean.","Angle(TimeBodyAccelerometerJerkMean,GravityMean)"
560,"angle.tBodyGyroMean.gravityMean.","Angle(TimeBodyGyroscopeMean,GravityMean)"
561,"angle.tBodyGyroJerkMean.gravityMean.","Angle(TimeBodyGyroscopeJerkMean,GravityMean)"
562,"angle.X.gravityMean.","Angle(X,GravityMean)"
563,"angle.Y.gravityMean.","Angle(Y,GravityMean)"
564,"angle.Z.gravityMean.","Angle(Z,GravityMean)"
